date,Y_h,pred_HAR,pred_HAR-DOW,pred_HAR-X,split
2014-06-10,-2.5482583494364444,-2.262454829013618,-2.2282732302929262,-2.339881724784616,train
2014-06-11,-2.5794999910047616,-2.2313756269970972,-2.220793656599266,-2.2679081091618296,train
2014-06-12,-2.508271094366487,-2.2524583548233728,-2.283939755461698,-2.1487454306842477,train
2014-06-13,-2.5575964661061423,-2.334526833383444,-2.3624338183994285,-2.243657584505944,train
2014-06-16,-2.585808366791089,-2.4580684600087634,-2.477069599518543,-2.328227478231467,train
2014-06-17,-2.6788845029036032,-2.380897463622445,-2.3407175203483606,-2.2577830602986033,train
2014-06-18,-2.7021454578288386,-2.447692774704891,-2.4308362267460772,-2.3630886151284454,train
2014-06-19,-2.78812397039228,-2.3559470428641416,-2.373489556130737,-2.445545445995987,train
2014-06-20,-2.700954387284374,-2.3949060252119887,-2.427313403457765,-2.482194088359138,train
2014-06-23,-2.7525513080974005,-2.4610570379935086,-2.484579440133631,-2.5808031160795446,train
2014-06-24,-2.733971382128336,-2.4993716743856402,-2.455783317955236,-2.6134986590154043,train
2014-06-25,-2.782698947347554,-2.511506719821518,-2.4932597917944967,-2.6144522870364715,train
2014-06-26,-2.861079012449733,-2.5118846255098046,-2.5324152415760843,-2.566957679899743,train
2014-06-27,-2.912237639716609,-2.407783905213251,-2.429026694663187,-2.247539133120218,train
2014-06-30,-2.992246386412649,-2.583097021512382,-2.610441963756018,-2.380441930543731,train
2014-07-01,-3.1219148694885663,-2.505669189952328,-2.4606058599329024,-2.3293398631500457,train
2014-07-02,-3.183168888885445,-2.603239628634203,-2.584913499800413,-2.430987418492735,train
2014-07-03,-3.1297040619465326,-2.647049395318479,-2.6749973410151986,-2.4784680338754326,train
2014-07-04,-3.3168177176018707,-2.5493665006262844,-2.570582118293915,-2.6091799168573564,train
2014-07-07,-3.2160260235192317,-2.8573822539358966,-2.895417005898543,-2.8899699811104504,train
2014-07-08,-3.1738677112629894,-2.8692909911458124,-2.8153408009514367,-2.9034080167272114,train
2014-07-09,-2.909876427460396,-2.956574743422675,-2.9334891154163216,-2.9665808983745685,train
2014-07-10,-2.935525253821827,-2.8462508630341343,-2.8637962156568024,-2.847843312641631,train
2014-07-11,-2.98126176548244,-2.896637362369188,-2.9256021293889427,-2.893850514274696,train
2014-07-14,-2.823780878243913,-2.8901364551949458,-2.9119305724132167,-2.9132865692735797,train
2014-07-15,-2.845406123727532,-2.867674629110967,-2.815801387924341,-2.8927251931403024,train
2014-07-16,-2.890714266332111,-2.653877789605405,-2.6294702792588236,-2.689602050332937,train
2014-07-17,-2.9107417536384097,-2.7715654901608,-2.7976906858220927,-2.8298284968352507,train
2014-07-18,-2.8378708784036095,-2.8153010465316,-2.857485945945312,-2.909658774160688,train
2014-07-21,-2.9518266391238233,-2.6574559975089347,-2.6699909540112783,-2.716458711104024,train
2014-07-22,-3.0137188942551822,-2.797200421319762,-2.7501088082544207,-2.849812959106588,train
2014-07-23,-3.241143543932901,-2.696640840255308,-2.6737216189396182,-2.7810928458622506,train
2014-07-24,-2.9305110915812973,-2.8050382197453576,-2.834428976358793,-2.7529876852818487,train
2014-07-25,-2.9543456461616504,-2.709445661129594,-2.7435368101799926,-2.6007696361080717,train
2014-07-28,-2.745763124344204,-2.78644326543025,-2.807472233676567,-2.623366455270588,train
2014-07-29,-2.731363759033428,-2.989225813152585,-2.9377466648754345,-2.8115274240143346,train
2014-07-30,-2.6855004404737035,-3.0353482352879095,-3.0134014239035243,-2.8508576478671204,train
2014-07-31,-2.78378938229965,-2.747146448770664,-2.752157924369491,-2.705442745090962,train
2014-08-01,-2.6699142745070876,-2.8486400310267674,-2.8816218213577107,-2.686111537597254,train
2014-08-04,-2.730639896823702,-2.6705277807684795,-2.6754293334319064,-2.5810232421830985,train
2014-08-05,-2.7037591119152298,-2.88033812144579,-2.8324310749644037,-2.7731810772541907,train
